inputrowindex,contract_flag
1746,0
1747,0
1748,0
1749,0
1750,1
1751,1
1752,1
1753,0
1754,0
1755,1
1756,0
1757,0
1758,1
1759,0
1760,0
1761,0
1762,1
1763,1
1764,1
1765,0
1766,1
1767,0
1768,0
1769,1
1770,1
1771,1
1772,0
1773,1
1774,1
1775,0
1776,1
1777,1
1778,1
1779,1
1780,1
1781,0
1782,1
1783,0
1784,0
1785,1
1786,1
1787,0
1788,1
1789,0
1790,0
1791,0
1792,0
1793,0
1794,0
1795,0
1796,1
1797,0
1798,1
1799,0
1800,0
1801,0
1802,1
1803,1
1804,0
1805,1
1806,0
1807,1
1808,1
1809,1
1810,0
1811,0
1812,1
1813,0
1814,1
1815,0
1816,1
1817,0
1818,1
1819,0
1820,0
1821,0
1822,0
1823,1
1824,1
1825,1
1826,0
1827,1
1828,1
1829,1
1830,0
1831,1
1832,0
1833,0
1834,0
1835,1
1836,1
1837,1
1838,0
1839,1
1840,1
1841,1
1842,0
1843,1
1844,1
1845,0
1846,0
1847,0
1848,1
1849,1
1850,0
1851,0
1852,1
1853,0
1854,0
1855,1
1856,1
1857,1
1858,0
1859,0
1860,1
1861,0
1862,1
1863,1
1864,0
1865,1
1866,1
1867,1
1868,1
1869,0
1870,0
1871,1
1872,1
1873,1
1874,0
1875,0
1876,0
1877,1
1878,0
1879,0
1880,0
1881,0
1882,0
1883,1
1884,0
1885,1
1886,0
1887,0
1888,0
1889,0
1890,0
1891,1
1892,0
1893,1
1894,0
1895,0
1896,0
1897,0
1898,1
1899,1
1900,1
1901,0
1902,1
1903,1
1904,1
1905,0
1906,1
1907,1
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,1
1915,0
1916,0
1917,1
1918,1
1919,0
1920,0
1921,1
1922,0
1923,0
1924,1
1925,0
1926,1
1927,1
1928,1
1929,0
1930,0
1931,0
1932,1
1933,0
1934,0
1935,0
1936,1
1937,0
1938,1
1939,0
1940,1
1941,0
1942,0
1943,0
1944,0
1945,0
1946,1
1947,0
1948,1
1949,0
1950,1
1951,1
1952,1
1953,0
1954,0
1955,1
1956,0
1957,0
1958,1
1959,1
1960,0
1961,0
1962,0
1963,1
1964,1
1965,1
1966,0
1967,1
1968,1
1969,1
1970,1
1971,0
1972,0
1973,1
1974,1
1975,0
1976,0
1977,0
1978,0
1979,1
1980,0
1981,0
1982,1
1983,1
1984,0
1985,0
1986,0
1987,1
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,1
2002,1
2003,1
2004,0
2005,1
2006,1
2007,1
2008,1
2009,1
2010,0
2011,0
2012,1
2013,0
2014,0
2015,1
2016,0
2017,0
2018,1
2019,0
2020,1
2021,0
2022,0
2023,1
2024,0
2025,1
2026,0
2027,0
2028,1
2029,0
2030,1
2031,1
2032,0
2033,0
2034,1
2035,1
2036,1
2037,0
2038,1
2039,0
2040,1
2041,0
2042,0
2043,0
2044,0
2045,0
2046,0
2047,0
2048,0
2049,0
2050,0
2051,0
2052,0
2053,0
2054,1
2055,0
2056,0
2057,0
2058,1
2059,0
2060,0
2061,0
2062,0
2063,0
2064,0
2065,1
2066,0
2067,0
2068,0
2069,0
2070,1
2071,1
2072,0
2073,0
2074,0
2075,0
2076,0
2077,1
2078,1
2079,0
2080,1
2081,1
2082,0
2083,1
2084,1
2085,0
2086,0
2087,0
2088,0
2089,0
2090,0
2091,1
2092,0
2093,1
2094,0
2095,1
2096,0
2097,1
2098,0
2099,0
2100,0
2101,0
2102,0
2103,1
2104,1
2105,1
2106,0
2107,0
2108,1
2109,0
2110,0
2111,0
2112,0
2113,0
2114,0
2115,0
2116,1
2117,0
2118,1
2119,1
2120,0
2121,0
2122,0
2123,0
2124,0
2125,0
2126,0
2127,1
2128,0
2129,0
2130,0
2131,0
2132,0
2133,1
2134,0
2135,1
2136,0
2137,0
2138,0
2139,0
2140,1
2141,0
2142,1
2143,0
2144,0
2145,1
2146,0
2147,1
2148,1
2149,0
2150,1
2151,0
2152,1
2153,1
2154,0
2155,1
2156,1
2157,0
2158,0
2159,1
2160,0
2161,0
2162,0
2163,1
2164,0
2165,0
2166,0
2167,1
2168,0
2169,1
2170,0
2171,0
2172,1
2173,1
2174,0
2175,0
2176,0
2177,0
2178,0
2179,0
2180,1
2181,0
2182,0
2183,0
2184,0
2185,0
2186,0
2187,1
2188,0
2189,0
2190,0
2191,0
2192,1
2193,0
2194,1
2195,0
2196,0
2197,0
2198,1
2199,1
2200,1
2201,0
2202,0
2203,1
2204,1
2205,0
2206,1
2207,1
2208,0
2209,0
2210,0
2211,1
2212,0
2213,0
2214,0
2215,0
2216,1
2217,0
2218,0
2219,0
2220,1
2221,0
2222,0
2223,0
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,0
2232,1
2233,0
2234,0
2235,0
2236,1
2237,0
2238,0
2239,1
2240,0
2241,1
2242,0
2243,0
2244,1
2245,0
2246,1
2247,0
2248,0
2249,0
2250,0
2251,0
2252,1
2253,0
2254,0
2255,1
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,0
2264,1
2265,1
2266,0
2267,1
2268,0
2269,1
2270,1
2271,1
2272,1
2273,0
2274,1
2275,0
2276,0
2277,1
2278,1
2279,0
2280,0
2281,1
2282,0
2283,0
2284,0
2285,0
2286,1
2287,0
2288,1
2289,0
2290,1
2291,0
2292,0
2293,1
2294,1
2295,1
2296,1
2297,0
2298,0
2299,1
2300,0
2301,0
2302,0
2303,1
2304,0
2305,0
2306,0
2307,1
2308,1
2309,1
2310,0
2311,0
2312,1
2313,0
2314,0
2315,0
2316,0
2317,0
2318,0
2319,0
2320,1
2321,1
2322,0
2323,1
2324,0
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,1
2333,1
2334,0
2335,1
2336,1
2337,0
2338,1
2339,0
2340,1
2341,0
2342,1
2343,0
2344,0
2345,0
2346,1
2347,1
2348,0
2349,1
2350,0
2351,0
2352,0
2353,0
2354,1
2355,1
2356,1
2357,0
2358,1
2359,1
2360,0
2361,1
2362,0
2363,0
2364,0
2365,1
2366,1
2367,0
2368,1
2369,1
2370,0
2371,0
2372,0
2373,0
2374,0
2375,0
2376,1
2377,1
2378,0
2379,1
2380,0
2381,0
2382,0
2383,1
2384,1
2385,0
2386,0
2387,0
2388,0
2389,1
2390,1
2391,0
2392,1
2393,1
2394,0
2395,0
2396,0
2397,0
2398,1
2399,0
2400,0
2401,0
2402,1
2403,1
2404,0
2405,0
2406,0
2407,0
2408,0
2409,0
2410,0
2411,0
2412,1
2413,1
2414,0
2415,1
2416,0
2417,1
2418,0
2419,0
2420,0
2421,0
2422,0
2423,0
2424,1
2425,0
2426,1
2427,1
2428,0
2429,1
2430,0
2431,0
2432,1
2433,0
2434,0
2435,1
2436,0
2437,1
2438,1
2439,1
2440,0
2441,0
2442,0
2443,0
2444,0
2445,1
2446,1
2447,1
2448,0
2449,0
2450,1
2451,1
2452,1
2453,1
2454,0
2455,0
2456,1
2457,0
2458,1
2459,0
2460,0
2461,1
2462,1
2463,0
2464,0
2465,1
2466,1
2467,1
2468,0
2469,0
2470,0
2471,0
2472,1
2473,1
2474,0
2475,0
2476,0
2477,1
2478,1
2479,0
2480,0
2481,0
2482,1
2483,0
2484,
2485,
2486,
2487,
2488,
2489,
2490,
2491,
2492,
2493,
